"","SiteId","Site Name","Report Date","Time Period Ending","Time Interval","0 - 520 cm","521 - 660 cm","661 - 1160 cm","1160+ cm","0 - 10 mph","11 - 15 mph","16 - 20 mph","21 - 25 mph","26 - 30 mph","31 - 35 mph","36 - 40 mph","41 - 45 mph","46 - 50 mph","51 - 55 mph","56 - 60 mph","61 - 70 mph","71 - 80 mph","80+ mph","Avg mph","Total Volume","Name","Longitude","Latitude","Status"
"34",6867,30361338,2021-05-01,08:29:00,33,65,3,6,3,0,0,0,3,39,25,6,4,0,0,0,0,0,0,29,77,"TAME Site 30361338 on link A64 eastbound between B1248 near Norton-on-Derwent (east) and B1249- GPS Ref: 485338-474373- Eastbound",-0.694669624285713,54.158104731557,"Active"
"35",6867,30361338,2021-05-01,08:44:00,34,74,2,4,0,0,0,0,7,30,29,9,3,2,0,0,0,0,0,30,80,"TAME Site 30361338 on link A64 eastbound between B1248 near Norton-on-Derwent (east) and B1249- GPS Ref: 485338-474373- Eastbound",-0.694669624285713,54.158104731557,"Active"
"36",6867,30361338,2021-05-01,08:59:00,35,108,6,5,1,0,0,0,3,84,28,2,3,0,0,0,0,0,0,28,120,"TAME Site 30361338 on link A64 eastbound between B1248 near Norton-on-Derwent (east) and B1249- GPS Ref: 485338-474373- Eastbound",-0.694669624285713,54.158104731557,"Active"
"37",6867,30361338,2021-05-01,09:14:00,36,127,5,7,4,0,0,5,17,85,32,4,0,0,0,0,0,0,0,27,143,"TAME Site 30361338 on link A64 eastbound between B1248 near Norton-on-Derwent (east) and B1249- GPS Ref: 485338-474373- Eastbound",-0.694669624285713,54.158104731557,"Active"
"38",6867,30361338,2021-05-01,09:29:00,37,156,5,9,2,0,0,0,26,106,33,6,1,0,0,0,0,0,0,27,172,"TAME Site 30361338 on link A64 eastbound between B1248 near Norton-on-Derwent (east) and B1249- GPS Ref: 485338-474373- Eastbound",-0.694669624285713,54.158104731557,"Active"
"39",6867,30361338,2021-05-01,09:44:00,38,163,5,5,1,0,0,0,24,126,21,3,0,0,0,0,0,0,0,27,174,"TAME Site 30361338 on link A64 eastbound between B1248 near Norton-on-Derwent (east) and B1249- GPS Ref: 485338-474373- Eastbound",-0.694669624285713,54.158104731557,"Active"
"40",6867,30361338,2021-05-01,09:59:00,39,140,8,8,3,0,0,4,20,102,30,3,0,0,0,0,0,0,0,27,159,"TAME Site 30361338 on link A64 eastbound between B1248 near Norton-on-Derwent (east) and B1249- GPS Ref: 485338-474373- Eastbound",-0.694669624285713,54.158104731557,"Active"
"41",6867,30361338,2021-05-01,10:14:00,40,148,3,6,4,3,4,2,35,94,18,4,0,1,0,0,0,0,0,24,161,"TAME Site 30361338 on link A64 eastbound between B1248 near Norton-on-Derwent (east) and B1249- GPS Ref: 485338-474373- Eastbound",-0.694669624285713,54.158104731557,"Active"
"42",6867,30361338,2021-05-01,10:29:00,41,148,3,9,3,0,0,5,25,96,31,5,1,0,0,0,0,0,0,27,163,"TAME Site 30361338 on link A64 eastbound between B1248 near Norton-on-Derwent (east) and B1249- GPS Ref: 485338-474373- Eastbound",-0.694669624285713,54.158104731557,"Active"
"43",6867,30361338,2021-05-01,10:44:00,42,160,5,5,0,0,1,4,32,107,25,1,0,0,0,0,0,0,0,26,170,"TAME Site 30361338 on link A64 eastbound between B1248 near Norton-on-Derwent (east) and B1249- GPS Ref: 485338-474373- Eastbound",-0.694669624285713,54.158104731557,"Active"
"44",6867,30361338,2021-05-01,10:59:00,43,172,5,1,1,0,0,1,45,114,18,1,0,0,0,0,0,0,0,26,179,"TAME Site 30361338 on link A64 eastbound between B1248 near Norton-on-Derwent (east) and B1249- GPS Ref: 485338-474373- Eastbound",-0.694669624285713,54.158104731557,"Active"
"45",6867,30361338,2021-05-01,11:14:00,44,164,3,11,7,0,0,0,34,112,33,3,3,0,0,0,0,0,0,27,185,"TAME Site 30361338 on link A64 eastbound between B1248 near Norton-on-Derwent (east) and B1249- GPS Ref: 485338-474373- Eastbound",-0.694669624285713,54.158104731557,"Active"
"46",6867,30361338,2021-05-01,11:29:00,45,160,3,12,3,0,0,4,31,101,42,0,0,0,0,0,0,0,0,27,178,"TAME Site 30361338 on link A64 eastbound between B1248 near Norton-on-Derwent (east) and B1249- GPS Ref: 485338-474373- Eastbound",-0.694669624285713,54.158104731557,"Active"
"47",6867,30361338,2021-05-01,11:44:00,46,202,2,3,3,10,4,11,30,115,36,3,1,0,0,0,0,0,0,21,210,"TAME Site 30361338 on link A64 eastbound between B1248 near Norton-on-Derwent (east) and B1249- GPS Ref: 485338-474373- Eastbound",-0.694669624285713,54.158104731557,"Active"
"48",6867,30361338,2021-05-01,11:59:00,47,199,2,9,1,45,67,25,39,31,3,1,0,0,0,0,0,0,0,11,211,"TAME Site 30361338 on link A64 eastbound between B1248 near Norton-on-Derwent (east) and B1249- GPS Ref: 485338-474373- Eastbound",-0.694669624285713,54.158104731557,"Active"
"49",6867,30361338,2021-05-01,12:14:00,48,190,5,8,1,5,25,11,47,95,19,2,0,0,0,0,0,0,0,20,204,"TAME Site 30361338 on link A64 eastbound between B1248 near Norton-on-Derwent (east) and B1249- GPS Ref: 485338-474373- Eastbound",-0.694669624285713,54.158104731557,"Active"
